  0       0       1.000000e+000 	  	  0 
  1       0       0 	  			  0 
  1       1       0 	  			  0 
  2 	  0 	 -4.84165371736e-004	  0 	
  2 	  1 	 -1.86987635955e-010	  1.19528012031e-009	
  2 	  2 	  2.43914352397e-006	 -1.40016683653e-006	
  3 	  0 	  9.57254173791e-007	  0 	
  3 	  1 	  2.02998882184e-006	  2.48513158715e-007	
  3 	  2 	  9.04627768604e-007	 -6.19025944204e-007	
  3 	  3 	  7.21072657057e-007	  1.41435626957e-006	
  4 	  0 	  5.39873863789e-007	  0 	
  4 	  1 	 -5.36321616971e-007	 -4.73440265853e-007	
  4 	  2 	  3.50694105785e-007	  6.62671572540e-007	
  4 	  3 	  9.90771803829e-007	 -2.00928369177e-007	
  4 	  4 	 -1.88560802734e-007	  3.08853169333e-007	
  5 	  0 	  6.85323475630e-008	  0 	
  5 	  1 	 -6.21012128527e-008	 -9.44226127525e-008	
  5 	  2 	  6.52438297612e-007	 -3.23349612668e-007	
  5 	  3 	 -4.51955406070e-007	 -2.14847190624e-007	
  5 	  4 	 -2.95301647654e-007	  4.96658876768e-008	
  5 	  5 	  1.74971983203e-007	 -6.69384278218e-007	
  6 	  0 	 -1.49957994713e-007	  0 	
  6 	  1 	 -7.60879384946e-008	  2.62890545501e-008	
  6 	  2 	  4.81732442832e-008	 -3.73728201347e-007	
  6 	  3 	  5.71730990515e-008	  9.02694517163e-009	
  6 	  4 	 -8.62142660108e-008	 -4.71408154267e-007	
  6 	  5 	 -2.67133325490e-007	 -5.36488432483e-007	
  6 	  6 	  9.67616121092e-009	 -2.37192006935e-007	
  7 	  0 	  9.09789371450e-008	  0 	
  7 	  1 	  2.79872910487e-007	  9.54336911866e-008	
  7 	  2 	  3.29743816487e-007	  9.30667596042e-008	
  7 	  3 	  2.50398657706e-007	 -2.17198608738e-007	
  7 	  4 	 -2.75114355257e-007	 -1.23800392323e-007	
  7 	  5 	  1.93765507243e-009	  1.77377719871e-008	
  7 	  6 	 -3.58856860644e-007	  1.51789817738e-007	
  7 	  7 	  1.09185148045e-009	  2.44415707993e-008	
  8 	  0 	  4.96711667324e-008	  0 	
  8 	  1 	  2.33422047892e-008	  5.90060493411e-008	
  8 	  2 	  8.02978722615e-008	  6.54175425858e-008	
  8 	  3 	 -1.91877757009e-008	 -8.63454445021e-008	
  8 	  4 	 -2.44600105470e-007	  7.00233016934e-008	
  8 	  5 	 -2.55352403037e-008	  8.91462164787e-008	
  8 	  6 	 -6.57361610961e-008	  3.09238461807e-007	
  8 	  7 	  6.72811580072e-008	  7.47440473632e-008	
  8 	  8 	 -1.24092493015e-007	  1.20533165603e-007	
  9 	  0 	  2.76714300853e-008	  0 	
  9 	  1 	  1.43387502749e-007	  2.16834947618e-008	
  9 	  2 	  2.22288318563e-008	 -3.22196647116e-008	
  9 	  3 	 -1.60811502143e-007	 -7.42287409461e-008	
  9 	  4 	 -9.00179225336e-009	  1.94666779474e-008	
  9 	  5 	 -1.66165092924e-008	 -5.41113191482e-008	
  9 	  6 	  6.26941938248e-008	  2.22903525945e-007	
  9 	  7 	 -1.18366323475e-007	 -9.65152667885e-008	
  9 	  8 	  1.88436022794e-007	 -3.08566220421e-009	
  9 	  9 	 -4.77475386132e-008	  9.66412847713e-008	
  10 	  0 	  5.26222488569e-008	  0 	
  10 	  1 	  8.35115775651e-008	 -1.31314331796e-007	
  10 	  2 	 -9.42413882081e-008	 -5.15791657390e-008	
  10 	  3 	 -6.89895048176e-009	 -1.53768828694e-007	
